full_name,email,phone,password,gender,bow_type,club_name,category_name,payment_status,payment_amount
Faris Aditya Pratama,faris.pratama@gmail.com,081234567891,Archeris123!,M,recurve,ASA,Recurve U-13 Putra,paid,150000
Rizky Kurniawan,rizky.kurniawan@gmail.com,081234567892,Archeris123!,M,recurve,ASA,Recurve U-13 Putra,paid,150000
Dimas Arya Saputra,dimas.arya@gmail.com,081234567893,Archeris123!,M,recurve,ASA,Recurve U-13 Putra,paid,150000
Bagus Hendra Wijaya,bagus.hendra@gmail.com,081234567894,Archeris123!,M,recurve,ASA,Recurve U-13 Putra,paid,150000
Gilang Ramadhan,gilang.ramadhan@gmail.com,081234567895,Archeris123!,M,recurve,ASA,Recurve U-13 Putra,paid,150000
Muhammad Fajar Sidiq,fajar.sidiq@gmail.com,081234567896,Archeris123!,M,recurve,ASA,Recurve U-13 Putra,paid,150000
Bayu Tri Pamungkas,bayu.pamungkas@gmail.com,081234567897,Archeris123!,M,recurve,ASA,Recurve U-13 Putra,paid,150000
Satria Danuarta,satria.danuarta@gmail.com,081234567898,Archeris123!,M,recurve,ASA,Recurve U-13 Putra,paid,150000
Aldi Wahyu Nugroho,aldi.wahyu@gmail.com,081234567899,Archeris123!,M,recurve,ASA,Recurve U-13 Putra,paid,150000
Eko Budi Santoso,eko.santoso@gmail.com,081234567800,Archeris123!,M,recurve,ASA,Recurve U-13 Putra,paid,150000
Reza Maulana Akbar,reza.akbar@gmail.com,081234567801,Archeris123!,M,recurve,ASA,Recurve U-13 Putra,paid,150000
Ilham Nur Hidayat,ilham.hidayat@gmail.com,081234567802,Archeris123!,M,recurve,ASA,Recurve U-13 Putra,paid,150000
